"SP","Format","Param","Method","Estimate","Sd_2.5","Sd_97.5","Migr"
"Cjuli","Med_Atl","Tsc","Random forest",110124.225,91300,130173.181818182,"Beta"
"Cjuli","Med_Atl","M12","Neural network",17.3901835276694,14.7912303067523,19.8590611056722,"Beta"
"Cjuli","Med_Atl","M12","Random forest",16.8611684895,13.6709146666667,19.9104643333333,"Beta"
"Cjuli","Med_Atl","shape_M12_a","Neural network",0.539308880566192,0.461748513954094,0.616125649075713,"Beta"
"Cjuli","Med_Atl","shape_M12_a","Random forest",0.509499023333333,0.415302,0.597041071428571,"Beta"
"Cjuli","Med_Atl","shape_M12_b","Neural network",3.26086259363104,2.61634037120434,3.88959764729544,"Beta"
"Cjuli","Med_Atl","shape_M12_b","Random forest",3.27903640433333,2.53833411111111,3.95018783333333,"Beta"
"Cjuli","Med_Atl","M21","Neural network",11.5103575407444,9.2976908613647,13.6573429383096,"Beta"
"Cjuli","Med_Atl","M21","Random forest",11.6011276818333,9.263497,13.90105,"Beta"
"Cjuli","Med_Atl","shape_M21_a","Neural network",0.0918813324440347,0.074487335619474,0.109520671065095,"Beta"
"Cjuli","Med_Atl","shape_M21_a","Random forest",0.0929251598333333,0.07465,0.11108,"Beta"
"Cjuli","Med_Atl","shape_M21_b","Neural network",4.12730459349252,3.34320109217845,4.93425267840334,"Beta"
"Cjuli","Med_Atl","shape_M21_b","Random forest",4.07545304583333,3.10303103277061,4.96228333333333,"Beta"
"Cjuli","Mu_Fa","N1","Neural network",527084.312416368,477703.620569663,585095.768198558,"Beta"
"Cjuli","Mu_Fa","N1","Random forest",538505.91475,426079.469273743,688254.612903226,"Beta"
"Cjuli","Mu_Fa","N2","Neural network",823648.371466764,727162.769837022,926437.807997392,"Beta"
"Cjuli","Mu_Fa","N2","Random forest",712518.778666667,580857.541666667,874836.290322581,"Beta"
"Cjuli","Mu_Fa","Na","Neural network",427568.742316696,367822.47284188,490276.715526354,"Beta"
"Cjuli","Mu_Fa","Na","Random forest",438082.942666667,381324.583333333,508425,"Beta"
"Cjuli","Mu_Fa","shape_N_a","Neural network",3.15015931280409,2.81997377948726,3.52261545890088,"Beta"
"Cjuli","Mu_Fa","shape_N_a","Random forest",3.30446878283333,2.64547028571429,4.03022538461538,"Beta"
"Cjuli","Mu_Fa","shape_N_b","Neural network",4.83280528032066,4.24027893376641,5.39287899881173,"Beta"
"Cjuli","Mu_Fa","shape_N_b","Random forest",4.83270355633333,3.78017066666667,6.02596556862745,"Beta"
"Cjuli","Mu_Fa","Tsplit","Neural network",1440391.08254614,1319498.33805332,1550394.91367941,"Beta"
"Cjuli","Mu_Fa","Tsplit","Random forest",1302784.46433333,1094140,1475048.57142857,"Beta"
"Cjuli","Mu_Fa","Tsc","Neural network",55463.5884240542,47804.4378547586,63696.0249563974,"Beta"
"Cjuli","Mu_Fa","Tsc","Random forest",55705.6896666667,44237.1428571429,67440,"Beta"
